		// migemo-dictの追加辞書(Fallout4バニラレコード抽出)
		// 最終更新: 2018/03/19 BowmoreLover
		// 本辞書の用途について:
		// ・migemo-dictにマージすることを想定した追加辞書
		// ・辞書キーを置き換えるのではなく、候補列への置き換え/追加を想定している
		// ・migemo-dictとは異なり、本ファイルではタブで始まる行はコメント扱い
		// 本辞書の内容:
		// ・英語のスペリングで日本語を検索するための辞書
		// ・バニラのプラグインから*:FULL, *:SHRTレコードの英語原文・日本語訳文を抽出した

assault rifle calibrated powerful receiver	アサルト・キャリブレートパワフルレシーバー
assaultron right arm barbaric spiked plate	アサルトロン右腕野蛮スパイクプレート
assaultron right arm merciless toxic plate	アサルトロン右腕無慈悲毒性プレート
chemical reagent required for fabrication.	製作には化学薬品が必要
combat shotgun hardened automatic receiver	ショットガン・ハードオートレシーバー
combat shotgun powerful automatic receiver	ショットガン・パワフルオートレシーバー
double-barrel shotgun heavy frame receiver	ダブルバレル・ヘビーフレームレシーバー
double-barrel shotgun light frame receiver	ダブルバレル・ライトフレームレシーバー
handmade rifle  long covered sniper barrel	ハンドメイドライフル・ロングカバーバレル
handmade rifle hardened automatic receiver	ハンドメイドライフル・ハードオートレシーバー
handmade rifle powerful automatic receiver	ハンドメイドライフル・パワフルオートレシーバー
handmade rifle short covered sniper barrel	ハンドメイドライフル・ショートカバースナイパーバレル
handmade rifle short covered welded barrel	ハンドメイドライフル・ショートカバー溶接バレル
hunting rifle calibrated powerful receiver	ハンティング・キャリブレートパワフルレシーバー
institute laser boosted gamma wave emitter	インスティチュート・増幅ガンマ線放射機
lever action rifle long night vision scope	レバーアクションライフル・長距離暗視スコープ
mr. handy torso front barbaric toxic plate	Mr.ハンディ胴体フロント野蛮毒性プレート
pipe bolt-action medium night vision scope	パイプボルト・中距離暗視スコープ
pipe bolt-action recoil compensating stock	パイプボルト・反動吸収ストック
pipe gun armor piercing automatic receiver	パイプガン・徹甲オートレシーバー
pipe revolver calibrated powerful receiver	パイプリボルバー・キャリブレートパワフルレシーバー
protectron left hand warmonger toxic plate	プロテクトロン左手好戦毒性プレート
robobrain left hand warmonger spiked plate	ロボブレイン左手好戦スパイクプレート
robobrain right hand primal serrated plate	ロボブレイン右手主要ノコギリ状プレート
robobrain treads mid wicked serrated plate	ロボブレイン走行部中央邪悪ノコギリ状プレート
schlocket automated food processor control	シュロケット自動フードプロセッサー制御
searing puncturing rocket baseball bat mod	バット・穿孔ヒートロケット
sentry bot right shoulder fat man launcher	セントリーボット右肩ヌカランチャー
sentry left leg warmonger staggering plate	セントリー左脚好戦スタッガープレート
sentry left shoulder unstable gas launcher	セントリー左肩の不安定なガスランチャー
sentry right leg barbaric staggering plate	セントリー右脚野蛮スタッガープレート
universal pyrotechnics junk mortar control	ユニバーサル・パイロテクニクス社廃品迫撃砲制御	ユニバーサル・パイロテクニクス社廃品迫撃砲コントロール
vault-tec control board: north-east sector	Vault-Tecの制御盤: 北東セクター
assault rifle hardened automatic receiver	アサルト・ハードオートレシーバー
assault rifle powerful automatic receiver	アサルト・パワフルオートレシーバー
assaultron front merciless serrated plate	アサルトロン・フロント無慈悲ノコギリ状プレート
assaultron front warmonger serrated plate	アサルトロン・フロント好戦ノコギリ状プレート
assaultron left arm barbaric spiked plate	アサルトロン左腕野蛮プレート
assaultron left arm merciless toxic plate	アサルトロン左腕無慈悲毒性プレート
assaultron right arm wicked noxious plate	アサルトロン右腕邪悪有害プレート
combat rifle calibrated powerful receiver	ライフル・キャリブレートパワフルレシーバー
dirty orange institute division head coat	汚れたオレンジのインスティチュート部門長のコート
dirty yellow institute division head coat	汚れたイエローのインスティチュート部門長のコート
double-barrel shotgun calibrated receiver	ダブルバレル・キャリブレートレシーバー
double-barrel shotgun spiked muzzle brake	ダブルバレル・スパイク付きマズルブレーキ
handmade rifle large quick eject magazine	ハンドメイドライフル・大型クイックイジェクトマガジン
handmade rifle long covered welded barrel	ハンドメイドライフル・ロングカバー溶接バレル
handmade rifle small quick eject magazine	ハンドメイドライフル・小型クイックイジェクトマガジン
institute laser improved automatic barrel	インスティチュート・改良型オートバレル
institute laser medium night vision scope	インスティチュート・中距離暗視スコープ
mr. handy thruster warmonger spiked plate	Mr.ハンディ・スラスター好戦スパイクプレート
pipe bolt-action short night vision scope	パイプボルト・短距離暗視スコープ
protectron front merciless hardened plate	プロテクトロン・フロント無慈悲硬化プレート
protectron front warmonger serrated plate	プロテクトロン・フロント好戦ノコギリ状プレート
protectron right hand savage spiked plate	プロテクトロン右手凶暴スパイクプレート
radium rifle calibrated powerful receiver	ラジウムライフル・キャリブレーテッド強力レシーバー
robobrain left hand primal serrated plate	ロボブレイン左手主要ノコギリ状プレート
robobrain treads mid primal storage plate	ロボブレイン走行部中央主要ストレージプレート
sentry bot left shoulder fat man launcher	セントリーボット左肩ヌカランチャー
sentry left leg barbaric staggering plate	セントリー左脚野蛮スタッガープレート
submachine gun hardened piercing receiver	サブマシンガン・徹甲ハードレシーバー
there is an empty slot for a fusion core.	フュージョン・コアを入れるスロットがある
assaultron left arm wicked noxious plate	アサルトロン左腕邪悪有害プレート
combat rifle hardened automatic receiver	ライフル・ハードオートレシーバー
combat rifle powerful automatic receiver	ライフル・パワフルオートレシーバー
combat shotgun medium night vision scope	ショットガン・中距離暗視スコープ
combat shotgun recoil compensating stock	ショットガン・反動吸収ストック
dirty green institute division head coat	汚れたグリーンのインスティチュート部門長のコート
double-barrel shotgun reflex sight (dot)	ダブルバレル・リフレックスサイト(ドット)
gatling laser boosted gamma wave emitter	ガトリング・増幅ガンマ線放射機
handmade rifle medium night vision scope	ハンドメイドライフル・中距離暗視スコープ
handmade rifle quick eject drum magazine	ハンドメイドライフル・クイックイジェクトドラムマガジン
handmade rifle recoil compensating stock	ハンドメイドライフル・反動吸収ストック
institute laser short night vision scope	インスティチュート・短距離暗視スコープ
mr. handy front merciless serrated plate	Mr.ハンディ・フロント無慈悲ノコギリ状プレート
no voices - to exclude lines from export	ボイスなし - 台詞をエクスポートから除外
pipe bolt-action long night vision scope	パイプボルト・長距離暗視スコープ
pipe gun hardened piercing auto receiver	パイプガン・徹甲ハードオートレシーバー
protectron left hand savage spiked plate	プロテクトロン左手凶暴スパイクプレート
protectron rear warmonger hardened plate	プロテクトロン・リア好戦硬化プレート
radium rifle hardened automatic receiver	ラジウムライフル・ハードオートレシーバー
radium rifle powerful automatic receiver	ラジウムライフル・強力オートレシーバー
right shoulder unstable fat man launcher	右肩の不安定なヌカランチャー
sentry right arm barbaric serrated plate	セントリー右腕野蛮ノコギリ状プレート
sentry right arm sinister serrated plate	セントリー右腕不吉ノコギリ状プレート
sentry torso right unstable gas launcher	セントリー胴体右の不安定なガスランチャー
submachine gun recoil compensating stock	サブマシンガン・反動吸収ストック
you can only place bottles on this rack.	このラックにはボトルしか置けない
acrylic punctuation - exclaimation mark	アクリル記号 - 感嘆符
assault rifle medium night vision scope	アサルト・中距離暗視スコープ
assault rifle recoil compensating stock	アサルト・反動吸収ストック
assaultron rear barbaric serrated plate	アサルトロン・リア野蛮ノコギリ状プレート
assaultron rear warmonger storage plate	アサルトロン・リア好戦ストレージプレート
assaultron right arm cruel spiked plate	アサルトロン右腕冷酷スパイクプレート
atomatoys developer's password: marlene	アトマトイズ開発者のパスワード: マーリーン
combat shotgun rapid automatic receiver	ショットガン・高速オートレシーバー
combat shotgun short night vision scope	ショットガン・短距離暗視スコープ
conveyor belt - elevated power junction	コンベアーベルト - 上昇配電盤
dirty blue institute division head coat	汚れたブルーのインスティチュート部門長のコート
double-barrel shotgun advanced receiver	ダブルバレル・改良型レシーバー
double-barrel shotgun hardened receiver	ダブルバレル・ハードレシーバー
double-barrel shotgun powerful receiver	ダブルバレル・パワフルレシーバー
double-barrel shotgun standard receiver	ダブルバレル・スタンダードレシーバー
error #0xafc80 (targeting data corrupt)	エラー#0XAFC80(ターゲットデータ破損)
four leaf fishpacking security password	フォー・リーフ・フィッシュパッキングのセキュリティパスワード
four leaf fishpacking security terminal	フォー・リーフ・フィッシュパッキングのセキュリティターミナル
handmade rifle rapid automatic receiver	ハンドメイドライフル・高速オートレシーバー
handmade rifle short night vision scope	ハンドメイドライフル・短距離暗視スコープ
hunting rifle medium night vision scope	ハンティング・中距離暗視スコープ
institute laser amplified beam splitter	インスティチュート・増幅型ビームスプリッター
institute laser boosted photon agitator	インスティチュート・増幅フォトンアジテイター
institute laser fine-tuned beam focuser	インスティチュート・精密ビームフォーカサー
institute laser long night vision scope	インスティチュート・長距離暗視スコープ
left shoulder unstable fat man launcher	左肩の不安定なヌカランチャー
legendary brotherhood paladin-commander	伝説のB.O.S.パラディンコマンダー
lever action rifle heavy frame receiver	レバーアクションライフル・ヘビーフレームレシーバー
lever action rifle light frame receiver	レバーアクションライフル・ライトフレームレシーバー
modified bowling ball schematic learned	改良型ボウリングボール設計図を学習
mr. handy rear merciless serrated plate	Mr.ハンディ・リア無慈悲ノコギリ状プレート
pipe revolver medium night vision scope	パイプリボルバー・中距離暗視スコープ
pipe revolver recoil compensating stock	パイプリボルバー・反動吸収ストック
protectron rear warmonger storage plate	プロテクトロン・リア好戦ストレージプレート
protectron right arm cruel spiked plate	プロテクトロン右腕冷酷スパイクプレート
protectron right leg cruel spiked plate	プロテクトロン右脚冷酷スパイクプレート
raider power armor motion-assist servos	レイダーパワーアーマー・モーションアシスト・サーボ
railway rifle automatic piston receiver	レール・オートマチックピストンレシーバー	レール・スタンダードレシーバー
railway rifle medium night vision scope	レール・中距離暗視スコープ
railway rifle recoil compensating stock	レール・反動吸収ストック
robobrain front sinister hardened plate	ロボブレイン・フロント不吉硬化プレート
robobrain front warmonger storage plate	ロボブレイン・フロント好戦ストレージアーマー
robobrain right hand cruel spiked plate	ロボブレイン右手冷酷スパイクプレート
schlocket automated manufactory control	シュロケット自動工場制御
sentry left arm barbaric serrated plate	セントリー左腕野蛮ノコギリ状プレート
sentry left arm sinister serrated plate	セントリー左腕不吉ノコギリ状プレート
sentry right arm merciless spiked plate	セントリー右腕無慈悲スパイクプレート
sentry right arm warmonger spiked plate	セントリー右腕好戦スパイクプレート
sentry right leg merciless spiked plate	セントリー右脚無慈悲スパイクプレート
sentry torso left unstable gas launcher	セントリー胴体左の不安定なガスランチャー
serrated blade chinese office sword mod	中国軍将校の剣・ノコギリ状の刃
skylanes flight 1665 final transmission	スカイレーン1665の最終メッセージ
unstable sentry right explosive minigun	不安定なセントリー右の爆発ミニガン
10mm armor piercing automatic receiver	10mm・徹甲オートレシーバー
acrylic punctuation - exclamation mark	アクリル記号 - 感嘆符
alien blaster short night vision scope	エイリアン・短距離暗視スコープ
assault rifle rapid automatic receiver	アサルト・高速オートレシーバー
assault rifle short night vision scope	アサルト・短距離暗視スコープ
assaultron front factory storage armor	アサルトロン・フロント工場ストレージアーマー
assaultron left arm cruel spiked plate	アサルトロン左腕冷酷スパイクプレート
assaultron waist factory satchel armor	アサルトロン・ウエスト工場収納アーマー
bottle and cappy orange jacket & jeans	ボトルとキャッピーのオレンジのジャケット&ジーンズ
bottle message - predator becomes prey	瓶に入ったメッセージ - ミイラ取りがミイラになる
buy for 10% lower, sell for 10% higher	10%安く購入し、10%高く売却できる
combat rifle medium night vision scope	ライフル・中距離暗視スコープ
combat rifle recoil compensating stock	ライフル・反動吸収ストック
combat shotgun long night vision scope	ショットガン・長距離暗視スコープ
deliverer calibrated powerful receiver	デリバラー・キャリブレートパワフルレシーバー
double-barrel shotgun sawed-off barrel	ダブルバレル・ソードオフバレル
fortify damage resistance based on fog	霧でのダメージ耐性強化
front warmonger serrated storage plate	フロント好戦ノコギリ状プレート
handmade rifle long night vision scope	ハンドメイドライフル・長距離暗視スコープ
hunting rifle short night vision scope	ハンティング・短距離暗視スコープ
institute laser gyro compensating lens	インスティチュート・ジャイロ補正レンズ
laser musket medium night vision scope	マスケット・中距離暗視スコープ
legendary annihilator sentry bot mk.ii	伝説のアニヒレーター・セントリーボットMk.II
legendary brotherhood knight-commander	伝説のB.O.S.ナイトコマンダー
lever action rifle calibrated receiver	レバーアクションライフル・キャリブレーテッドレシーバー
lever action rifle short ported barrel	レバーアクションライフル・ショートポーテッドバレル
mr. handy arm merciless serrated plate	Mr.ハンディ・アーム無慈悲ノコギリ状プレート
mr. handy eye warmonger serrated plate	Mr.ハンディ眼部好戦ノコギリ状プレート
mr. handy front warmonger spiked plate	Mr.ハンディ・フロント好戦スパイクプレート
mr. handy top merciless serrated plate	Mr.ハンディ・トップ無慈悲ノコギリ状プレート
patient records - superintendent level	患者記録-監督官レベル
pipe revolver short night vision scope	パイプリボルバー・短距離暗視スコープ
protectron front factory storage armor	プロテクトロン・フロント工場ストレージアーマー
protectron front merciless toxic plate	プロテクトロン・フロント無慈悲毒性プレート
protectron left arm cruel spiked plate	プロテクトロン左腕冷酷スパイクプレート
protectron left leg cruel spiked plate	プロテクトロン左脚冷酷スパイクプレート
protectron right hand blue space laser	プロテクトロン右手ブルー・スペースレーザー
protectron waist satchel factory armor	プロテクトロン・ウエスト収納工場アーマー
radium rifle medium night vision scope	ラジウムライフル・中距離暗視スコープ
radium rifle recoil compensating stock	ラジウムライフル・リコイル吸収ストック
raider power armor emergency protocols	レイダーパワーアーマー緊急時プロトコル
railway rifle short night vision scope	レール・短距離暗視スコープ
robobrain left hand cruel spiked plate	ロボブレイン左手冷酷スパイクプレート
robobrain rear sinister hardened plate	ロボブレイン・リア不吉硬化プレート
robobrain rear warmonger storage plate	ロボブレイン・リア好戦ストレージプレート
sentry left arm merciless spiked plate	セントリー左腕無慈悲スパイクプレート
sentry left arm warmonger spiked plate	セントリー左腕好戦スパイクプレート
sentry left leg merciless spiked plate	セントリー左脚無慈悲スパイクプレート
sentry right leg savage serrated plate	セントリー右脚凶暴ノコギリ状プレート
sentry right leg storage factory armor	セントリー右脚ストレージ工場アーマー
serrated blade revolutionary sword mod	革命ソード・ノコギリ状の刃
submachine gun armor piercing receiver	サブマシンガン・徹甲レシーバー
submachine gun medium quick eject drum	サブマシンガン・中型クイックイジェクトドラム
unstable sentry left explosive minigun	不安定なセントリー左爆発ミニガン
vault suit ultra-light build torso mod	Vaultスーツ・超軽量化
vault-tec population management system	Vault-Tec人口管理システム
vault-tec prototype schematics learned	習得済みのVault-Tecプロトタイプの設計図
***do not include a standard sight***	***スタンダードサイトを含まないこと***
assault rifle long night vision scope	アサルト・長距離暗視スコープ
assaultron front barbaric toxic plate	アサルトロン・フロント野蛮毒性プレート
assaultron rear factory storage armor	アサルトロン・リア工場ストレージアーマー
assaultron rear merciless toxic plate	アサルトロン・リア無慈悲毒性プレート
assaultron rear warmonger toxic plate	アサルトロン・リア好戦毒性プレート
assaultron right hand hydraulic frame	アサルトロン右手油圧フレーム
combat rifle rapid automatic receiver	ライフル・高速オートレシーバー
combat rifle short night vision scope	ライフル・短距離暗視スコープ
combat rifle standard quick eject mag	ライフル・中型クイックイジェクトマガジン
combat shotgun medium quick eject mag	ショットガン・中型クイックイジェクトマガジン
disciples ultra-light build torso mod	ディサイプルズ・胴体・超軽量化
double-barrel shotgun standard sights	ダブルバレル・スタンダードサイト
easy city downs broadcast transmitter	イージーシティ・ダウンズ放送送信機
error #0xbeb61 (invalid cycler speed)	エラー#0XBEB61(不正なサイクラー速度)
gatling laser boosted photon agitator	ガトリング・増幅フォトンアジテイター
gauss rifle medium night vision scope	ガウス・中距離暗視スコープ
gauss rifle recoil compensating stock	ガウス・反動吸収ストック
hunting rifle long night vision scope	ハンティング・長距離暗視スコープ
institute laser improved short barrel	インスティチュート・改良型ショートバレル
institute laser overcharged capacitor	インスティチュート・オーバーチャージ・コンデンサ
laser musket short night vision scope	マスケット・短距離暗視スコープ
legendary brotherhood knight-sergeant	伝説のB.O.S.ナイト・サージェント
lever action rifle long ported barrel	レバーアクションライフル・ロングポーテッドバレル
mr. handy front factory storage armor	Mr.ハンディ・フロント工場ストレージアーマー
nuka-gen replication machine terminal	ヌカ発生再現装置ターミナル
nuka-world - intimidating settlements	ヌカ・ワールド - 威圧
operators ultra-light build torso mod	オペレーターズ・胴体・超軽量化
pipe bolt-action heavy frame receiver	パイプボルト・ヘビーフレームレシーバー
pipe bolt-action light frame receiver	パイプボルト・ライトフレームレシーバー
pipe gun calibrated powerful receiver	パイプガン・キャリブレートパワフルレシーバー
pipe revolver long night vision scope	パイプリボルバー・長距離暗視スコープ
plasma gun boosted gamma wave emitter	プラズマ・増幅ガンマ線放射機
protectron left hand blue space laser	プロテクトロン左手ブルー・スペースレーザー
protectron right hand automatic laser	プロテクトロン右手オートレーザー
protectron right hand hydraulic frame	プロテクトロン右手油圧フレーム
protectron right hand red space laser	プロテクトロン右手レッド・スペースレーザー
radium rifle rapid automatic receiver	ラジウムライフル・高速オートレシーバー
radium rifle short night vision scope	ラジウムライフル・短距離暗視スコープ
railway rifle long night vision scope	レール・長距離暗視スコープ
robco sales & service center terminal	ロブコ・セールス&サービスターミナル
robobrain front factory storage armor	ロボブレイン・フロント工場ストレージアーマー
robobrain rear warmonger spiked plate	ロボブレイン・リア好戦プレート
robobrain right arm grim spiked plate	ロボブレイン右腕残忍プレート
safari adventure maintenance terminal	サファリアドベンチャーのメンテナンスターミナル
schlocket automated pyrotechnics mill	シュロケット自動花火工場
sentry left leg factory storage armor	セントリー左脚工場ストレージアーマー
sentry left leg savage serrated plate	セントリー左脚凶暴ノコギリ状プレート
sentry rear leg factory storage armor	セントリー後脚工場ストレージアーマー
sentry right leg primal storage plate	セントリー右脚主要ストレージプレート
small punctuation - exclamation point	小さい記号 - 感嘆符
south boston police evidence terminal	サウスボストン警察証拠端末
springheel combat armor left leg epic	バネ付きエピックコンバットアーマー：左脚
submachine gun large quick eject drum	サブマシンガン・大型クイックイジェクトドラム
vault-tec control board: north sector	Vault-Tecの制御盤: 北セクター
vault-tec workshop: north-east sector	Vault-Tec Workshop: 北東セクター
weighted pack yellow baseball bat mod	バット・重量化&イエロー
10mm hardened piercing auto receiver	10mm・徹甲ハードオートレシーバー
alien blaster standard ammo receiver	エイリアン・スタンダードマガジン
assaultron front wicked spiked plate	アサルトロン・フロント邪悪スパイクプレート
assaultron left hand hydraulic frame	アサルトロン左手油圧フレーム
assaultron mid factory storage armor	アサルトロン中央工場ストレージアーマー
assaultron rear wicked noxious plate	アサルトロン・リア邪悪有害プレート
assaultron right arm hydraulic frame	アサルトロン右腕油圧フレーム
assaultron right hand sinister plate	アサルトロン右手不吉プレート
assaultron right leg hydraulic frame	アサルトロン右脚油圧フレーム
combat rifle long night vision scope	ライフル・長距離暗視スコープ
combat shotgun glow front sight ring	ショットガン・グロウフロントサイトリング
combat shotgun hair trigger receiver	ショットガン・ヘアトリガーレシーバー
combat shotgun reflex sight (circle)	ショットガン・リフレックスサイト(円)
dc guard ultra-light build torso mod	DCガード・胴体・超軽量化
disciples ultra-light build limb mod	ディサイプルズ・リム・超軽量化
east boston police evidence terminal	イーストボストン警察証拠端末
gatling laser gatling laser receiver	ガトリング・ガトリングレーザーレシーバー
gauss rifle short night vision scope	ガウス・短距離暗視スコープ
handmade rifle hair trigger receiver	ハンドメイドライフル・ヘアトリガーレシーバー
handmade rifle reflex sight (circle)	ハンドメイドライフル・リフレックスサイト(円)
handmade rifle short improved barrel	ハンドメイドライフル・改良ショートバレル
hunting rifle medium quick eject mag	ハンティング・中型クイックイジェクトマガジン
institute laser improved long barrel	インスティチュート・改良型ロングバレル
laser musket long night vision scope	マスケット・長距離暗視スコープ
laser quantum gyro compensating lens	レーザー・量子ジャイロ補正レンズ
legendary brotherhood knight-captain	伝説のB.O.S.ナイト・キャプテン
lever action rifle advanced receiver	レバーアクションライフル・改良型レシーバー
lever action rifle hardened receiver	レバーアクションライフル・ハードレシーバー
lever action rifle powerful receiver	レバーアクションライフル・強力レシーバー
lever action rifle standard receiver	レバーアクションライフル・スタンダードレシーバー
mr. handy front primal storage plate	Mr.ハンディ・フロント主要ストレージアーマー
mr. handy front wicked noxious plate	Mr.ハンディ・フロント邪悪毒性プレート
mr. handy rear barbaric spiked plate	Mr.ハンディ・リア野蛮スパイクプレート
mr. handy rear factory storage armor	Mr.ハンディ・リア工場ストレージアーマー
mr. handy rear warmonger toxic plate	Mr.ハンディ・リア好戦毒性プレート
mr. handy top sinister noxious plate	Mr.ハンディ・トップ冷酷有害プレート
no upgrade chinese officer sword mod	中国軍将校の剣・標準
nuka-world power: oversight terminal	ヌカ・ワールド電力：監視ターミナル
operators ultra-light build limb mod	オペレーターズ・リム・超軽量化
pipe bolt-action calibrated receiver	パイプボルト・キャリブレートレシーバー
pipe bolt-action sharpshooter's grip	パイプボルト・シャープシューターグリップ
pipe bolt-action short ported barrel	パイプボルト・ショートポーテッドバレル
pipe gun hardened automatic receiver	パイプガン・ハードオートレシーバー
pipe gun powerful automatic receiver	パイプガン・パワフルオートレシーバー
plasma gun improved automatic barrel	プラズマ・改良型オートバレル
plasma gun medium night vision scope	プラズマ・中距離暗視スコープ
plasma gun recoil compensating stock	プラズマ・反動吸収ストック
protectron front dread satchel plate	プロテクトロン・フロントドレッド収納アーマー
protectron left hand automatic laser	プロテクトロン左手オートレーザー
protectron left hand hydraulic frame	プロテクトロン左手油圧フレーム
protectron left hand red space laser	プロテクトロン左手レッド・スペースレーザー
protectron right hand actuated frame	プロテクトロン右手作動フレーム
protectron right leg hydraulic frame	プロテクトロン右脚油圧フレーム
protectron right leg warmonger plate	プロテクトロン右脚主要プレート
radium rifle long night vision scope	ラジウムライフル・長距離暗視スコープ
raider power armor calibrated shocks	レイダーパワーアーマー・キャリブレーテッドショック
raider power armor hydraulic bracers	レイダーパワーアーマー油圧ブレーサー
raider power armor internal database	レイダーパワーアーマー内部データベース
raider power armor optimized bracers	レイダーパワーアーマー・オプティマイズドブレーサー
reduce pa battery damage rate effect	PAバッテリーダメージレート効果を減少させる
right leg warmonger staggering plate	右脚好戦スタッガープレート
right shoulder unstable gas launcher	右肩の不安定なガスランチャー
robobrain back factory storage armor	ロボブレイン背部工場ストレージアーマー
robobrain left arm grim spiked plate	ロボブレイン左腕残忍プレート
robobrain right hand hydraulic frame	ロボブレイン右手油圧フレーム
robobrain treads mid hydraulic frame	ロボブレイン走行部中央油圧フレーム
schlocket automated ammunition plant	シュロケット自動弾薬工場
sentry bot shoulder right weapon vfx	セントリーボット肩用武器VFX(右)
sentry left leg primal storage plate	セントリー左脚主要ストレージプレート
sentry rear leg primal storage plate	セントリー後脚主要ストレージプレート
spiked rocket heavy sledgehammer mod	スレッジハンマー・スパイク付き重量化ロケット
treasures of jamaica plain inventory	ジャマイカ・プレインの宝目録
vault-tec control board: east sector	Vault-Tecの制御盤: 東セクター
vault-tec: among the stars medallion	Vault-Tec：アマング・ザ・スター・メダル
